Id,Mus CPRCMUS No,Tattoo,CS_Tattoo,Sex,Coronal suture,Sagittal suture,Lamboidal suture,Humeral Head,Distal Humerus,Humerus Lateral Epicondyle,Humerus Medial Epicondyle,Proximal Radius,Distal Radius,Proximal Ulna,Distal Ulna,Femoral Head,Distal Femur,Proximal Tibia,Distal Tibia,Zy-Zy,Ba-Br,Eu-Eu,Gl-Op,Go-Co,Go-Go,Po-Go,Al-MxF suture midline,HL,HPML,HPAP,HDML,HDAP,RL,RPML,RPAP,RDML,RDAP,UL,FL,FHL,FHSI,FPAP,FPML,FDML,FDAP,TL,TPML,TPAP,TDML,TDAP,IICrest,Pel_height,HDia,RDia,UDia,FDia,TDia,Pterion_Right,Pterion_Left,BMD_Hum,BMD_Fem,MCode,Pedigree,EAAD
627,"CPRCMUS-01526","611","611","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,97.32,"55.65","69.11","88.93","43.72",45.93,82.49,61.56,"148.37","18.28","19.28","29.59","16.69","148","11.82","13.6","16.39","12.99","166.7","185.49","179.47","17.73","17.76","14.81","28.59","22.64","166.75","29.24","21.35","17.87","14.26",,"154.47","39","29","28","43","38","TF",,"4237","4149","Q1056","04 Tier",12.06
628,"CPRCMUS-01545","E267/E90","E90","F",0,0,0,1,3,0,0,3,1,"2","1",3,1,2,2,,,,,,,,,"136.02","15.43","16.63","24.48","15.74",,,,,,,"163.15","Na","14.01","14","11.09","24.75","20.62","156.17","26.25","19.75","15.93","13.71",,"136.35","32",,,"38","35",,,"3879","4105",,,4.48
629,"CPRCMUS-01548","K1","K1","F",0,0,0,3,3,3,3,3,3,"3","3",3,3,3,3,91.03,,,,"41.26",48.75,75.98,56.51,"147.81","16.54","18.41","28.01","17.92","147.9","11.38","12.53","15.23","12.41","165.34","173.53","169.2","16.12","16.15","14.35","28.75","21.15","160.03","29.8","21.97","18.71","16.15",,"157.52","41","29","28","43","38",,,"4325","4088","Q1056","03 Tier",19.93
630,"CPRCMUS-01570","9L","9L","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,96.71,"59.05","69.89","90.22","48.93",57.24,87.00,62.17,"156.72","19.32","20.84","31.85","18.55","163.86","12.6","13.76","18.08","14.74","182.15","198.54","193.8","19.89","19.21","15.9","31.75","24.75","182.77","30.47","24.35","19.48","16.61","104.77","164.46","43","32","30","42","41",,,"4318","4450","Q1066","03 Tier",19.64
631,"CPRCMUS-01571","B06","B06","M",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,103.62,"58.23","68.23","96.72","43.12",61.27,88.50,61.21,"165.16","19.02","21.17","30.12","19.67","163.95","13.58","13.96","17.9","14.75","185.88","201.05","196.96","18.2","18.38","14.77","31.59","26.54","181.54","32.58","24.53","19.69","16.17",,"169.86","45","33","32","48","43","TF","TF","4239","4288","Q1000","04 Tier",7.53
632,"CPRCMUS-01572","D58","D58","M",3,3,3,2,3,3,3,3,1,"3","1",3,2,2,3,100.80,"60.03","71.27","59.59","46.35",61.23,86.08,61.95,"162.06","17.97","20.51","29.67","18.46","166.27","12.23","13.63","18","14.51","185.06","198.61","194.96","17.16","17.8","13.54","30.95","24.32","179.67","30.52","23.81","18.7","16.69",,"165.54","43","32","32","44","41","TF","TF","4370","4412","Q1012","05 Tier",6.52
633,"CPRCMUS-01573","B61","B61","M",3,3,3,2,3,3,3,2,3,"3","2",3,3,3,3,89.86,"56.31","65.01","87.74","44.25",48.41,78.87,56.18,"160.02","18.48","20.93","31.27","19.26","158.9","12.72","13.55","17.1","13.57","180.82","196.27","191.22","18.4","18.32","15.23","31.38","25.92","173.96","30.39","23.78","19.94","15.66",,"159.34","38","28","29","42","40","TF","TF","4222","4289","Q1012","06 Tier",7.37
634,"CPRCMUS-01574","894","894","M",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,102.53,"59.26","67.77","89.08","48.84",57.47,84.85,63.77,"152.06","17.51","19.11","30.07","16.9","151.92","12.17","13.39","16.65","13.71","168.25","180.83","178.4","16.25","16.49","13.32","30.34","23.69","171.75","29.14","23.73","19","16.8",,"160.13","43","30","28","44","41","TF","TF","4642","4284","Q1083","05 Tier",9.52
635,"CPRCMUS-01575","564","564","M",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,97.28,,"64.98","90.91","37.62",53.39,82.87,59.15,"156","19.63","20.32","31.89","19.62","162.82","12.68","14.04","17.62","15.09","179.96","198.02","Na","17.44","17.7","16.02","32.51","25.25","180.64","32.33","25.33","18.96","17.14",,"165.81","43","34","33","46","48","X",,"4185","4109",,,14.64
636,"CPRCMUS-01576","G08","G08","M",3,2,3,1,3,3,3,3,1,"3","1",3,1,1,1,83.04,"57.6","65.09","86.2","42.21",55.81,74.06,52.70,"155","18.49","20.49","28.93","18.26","155.74","11.86","13.1","16.01","12.63","175.86","199.55","193.91","18.2","18.28","15.42","30.11","25.72","178.07","29.88","23.32","18.52","15.91",,"155.77","34","25","25","38","35","TF","TF","4172","4280","Q1066","05 Tier",4.93
637,"CPRCMUS-01577","G02","G02","F",3,3,3,1,3,3,3,3,1,"3","1",2,1,2,2,80.02,"50.91","62.98","84.29","38.41",50.78,63.42,47.78,"140.97","15.69","17.27","24.33","16.09","137.2","10.61","11.74","14.88","12.07","153.48","172.54","170.18","14.78","14.98","12.29","26.57","20.54","157.88","26.23","19.8","17.12","14.17",,"146.64","33","24","23","38","34","TF","TF","4239","4096","Q1083","04 Tier",4.94
638,"CPRCMUS-01580","935","935","M",3,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,103.83,,"65.41","95.41","39.92",49.60,82.82,62.25,"155.84","20.03","20.45","32.72","20.74","158.89","13.14","13.57","17.75","14.75","176.84","193.34","Na",,"17.19","14.34","32.6","26.14","175.04","35.04","24.77","21.58","18.02",,"164.06","49","33",,"45","42","NA",,"4169","4132",,,9.70
639,"CPRCMUS-01581","I02","I02","F",3,3,3,1,3,3,3,3,1,"2","1",3,1,0,0,78.83,"54.92","61.55","87.87","39.61",48.22,64.61,44.92,"135.3","13.89","17.29","25.47","14.76",,,,,,,"163.46","161.91","14.68","14.62","11.96","27.21","21.84",,,,,,,"142.71","32","25","23","36",,"TF","TF","4280",,"Q1012","06 Tier",4.07
640,"CPRCMUS-01583","G46","G46","M",3,3,3,1,3,3,3,3,1,"3","1",2,1,1,1,85.09,"55.08","64.9","86.46","40.67",53.58,75.65,54.52,"143.16","17.42","18.95","27.55","17.19",,,,,,,"178.84","174.35","15.95","16.08","13.13","28.65","22.1","154.09","28.27","22.14","17.45","15.06",,"140.64","37","28","24",,,,,"4102","4132","Q1012","06 Tier",5.03
641,"CPRCMUS-01587","B65","B65","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,82.03,"56.69","61.46","84.31","42.26",47.94,70.07,47.06,"133.44","15.54","17.2","27.22","15.88","135.79","10.46","11.62","15.02","11.84","152.72","160.11","156.45","15.21","15.21","12.85","26.14","21.08","152.21","26.48","19.88","16.65","13.34",,"148.18","32","25","22","36","34","TF","TF","4271","4022","Q1012","05 Tier",7.63
642,"CPRCMUS-01588","C83","C83","M",3,3,3,1,3,3,3,3,1,"3","1",23,2,2,3,95.36,"54","66.75","83.34","45.62",58.02,80.95,59.37,"157.59","17.14","19.94","28.59","17.47","151.89","11.62","13.2","15.83","13.3","172.06","186.09","182.73","15.74","16.11",,"28.39","23.89","172.06","27.27","22.72","18.47","15.36",,"147.84","37","26","29","41","39","TF","TF","4119","4204","Q1019","06 Tier",6.69
643,"CPRCMUS-01589","H65","H65","F",3,2,2,1,3,3,1,1,1,"1","1",1,1,1,1,66.40,"49.89","56.98","77.52","35.25",41.62,54.30,38.43,"118.9","13.32","15.07",,,,,,,,,"142.17",,"13.58","13.7","10.73","23.11","18.03","136.24","22.3","16.8","15.72","12.58",,"118.12","25","18","18","28","28","TF","TF","3948","4020","Q1012","06 Tier",3.41
644,"CPRCMUS-01591","B12","B12","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,77.03,"54.17","61.59","80.41","37.81",48.77,65.66,43.61,"128.5","15.33","16.26","21.82","13.8","127.9","9.88","11.01","13.58","11.79","143.37","152.98","151.2","13.55","13.88","11.07","24.89","19.92","140.03","26.07","19.51","15.15","13.48",,"136.14","31","23","23","33","31","TF","TF","4192","4145","Q1012","06 Tier",7.92
645,"CPRCMUS-01604","631","631","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,94.95,"59.64","67.95","91.4","41.59",56.42,82.67,66.22,"158.2","18.93","19.85","30.09","17.73","156.51","12.78","13.85","17.06","14.02","176.82","192.84","186.87","17.66","17.71","14.81","30.65","24.09","176.94","29.58","23.1","19.54","16.56",,"160.53","41","31","29","44","42","TF","TF","4399","4521","Q1066","04 Tier",13.09
646,"CPRCMUS-01609","880","880","M",3,3,3,1,3,3,3,2,1,"2","1",2,1,1,2,84.89,"57.23","63.62","91.67","35.56",51.19,75.48,53.78,"147.06","17.55","18.73","29.73","17.27","151.29","12.13","13.35","16.33","13.4","168.21","183.74","179.17","16.83","16.8",,"29.66","22.5","172.36","29.26","23.37","19.1","15.25",,"146.34","37","26","25","39","36","TF","TF","4204","4056","Q1056","05 Tier",5.98
647,"CPRCMUS-01617","E253/923","923","F",3,3,2,2,2,0,0,2,2,"3","2",2,2,2,3,80.79,"52.43","61.65","84.31","32.34",42.79,65.92,48.54,,,,,,,,,,,,,"Na",,,,,,,,,,,,,,,,,,"TF",,"4196","4195",,,7.53
648,"CPRCMUS-01618","E235/E29","E29","F",2,2,2,1,2,0,0,2,1,"2","1",2,1,1,1,75.11,"57.88","62.65","87.58","32.25",43.27,62.41,40.54,"129.18","15.47","15.74","24.54","14.11","125.83","9.84","10.63","13.02","10.71","143.5","156.47","Na",,"14.78","11.24","24.52","18.68","146.62","23.93","18.56","14.57","13.26",,"129.24","34","22","24","33","33","TF",,"3902","4102",,,3.75
649,"CPRCMUS-01619","A19","A19","M",3,3,3,1,2,0,0,1,,"1","1",2,1,1,1,87.57,"54.81","63.75","88.44","35.64",50.86,75.01,54.69,"149.57","17.29","19.1","29.64","17.33","152.8","12.61","12.29","16.05","13.1","175.26","181.16","Na","16.11","16.37","12.38","28.74","22.49",,,,,,,"154.45","44","25","29","42",,"TF",,"4153","4159",,,5.10
650,"CPRCMUS-01629","E298/906","906","M",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,95.88,"55.59","68.12","88.21","42.59",56.28,84.64,60.33,"156.09","19.01","20.4","29.87","20.06","149.91","11.84","12.91","15.91","13.59","171.23","190.03","183.37","17.28","17.15","14.03","29.42","23.77","168.13","30.54","23.18","18.51","15.32",,"161.95","40","28","30","43","40","TF","TF",,,"Q1000","05 Tier",8.27
651,"CPRCMUS-01633","B34","B34","F",3,3,3,3,3,0,0,3,3,"3","3",3,3,3,3,76.50,"52.58","58.92","83.71","34.26",41.13,64.08,46.14,"132.2","16.32","18.05","25.47","15.49","125.63","10.76","11.98","13.65","12.12","145.03","157.33","Na","14.36","15.61","12.41","26.51","22.29","150.47","26.65","19.07","16.16","13.71",,"137.16","38","25","25","38","36","SP",,"3843","3821",,,7.67
652,"CPRCMUS-01639","637","637","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,95.35,,"64.47","88.42","43.85",58.69,85.54,64.63,"162.1","16.65","18.91","28.61","17.6","162.28","11.65","12.73","17.77","13.45","181.3","193.6","187.99","18.98","19.54",,"30.07","23.94","174.53","29.76","22.59","19.17","15.5","103.89","164.18","41","32","27","42","40",,,"4210","4271","Q1012","05 Tier",12.08
653,"CPRCMUS-01642","E297/702","702","M",0,0,0,3,3,3,3,3,3,"3","3",3,3,3,3,,,,,,,,,"152.5","17.58","19.03","29.12","17.47","151.08","11.82","12.97","16.18","13.67","169.07","190.27","185.57","15.98","16.48","13.8","29.82","23.23","166.89","29.31","22.52","18.85","16.14","82.75","156.62","39","30","29","44","40",,,"4283","4270","Q1000","03 Tier",12.46
654,"CPRCMUS-01645","416","416","F",3,4,3,3,3,0,0,3,3,"3","3",3,3,3,3,84.68,"55.13","60.96","83.36","43.72",47.37,69.22,49.46,"141.56","17.72","17.68","24.79","15.89","135.1","11.39","12.24","14.92","12.07","152.95","170.35","Na","14.88","15.19","11.94","26.32","21.39","152.28","27.06","19.33","15.84","14.09",,"149.67","41","25","23","40","37","TF",,"4050","4323",,,16.40
655,"CPRCMUS-01783","H11","H11","M",3,3,3,1,3,0,0,3,1,"2","1",2,1,2,2,96.78,"54.79","73.72","92.74","36.02",37.09,51.41,59.66,"159.54","19.84","20.29","31.3","18.72","158.55","11.98","12.63","16.54","13.56","180.56","194.86","Na",,"17.27","13.42","30.13","23.7","181.27","30.22","24","19.83","15.83",,"161.39","40","29","32","42","40","TF",,"4131","4031",,,5.19
656,"CPRCMUS-01924","883","883","F",0,0,0,2,3,0,0,3,2,"3","2",3,3,,,,,,,,,,,"138.55","15.53","17.25","25.3","15.44","136.68","10.46","11.42","14.63","11.54","153.72","159.9","Na","14.18","14.32","10.78","25.24","20.8",,,,,,,"141.02","37","25","28","38",,,,"4000","4107",,,6.24
658,"CPRCMUS-01933","E07","E07","M",3,3,3,1,3,3,3,3,1,"2","1",3,2,2,3,92.05,"55.45","67.17","91.37","38.34",53.07,79.03,53.89,"161.25","17.58","20.01","31.22","19.34","155.74","12.04","13.37","17.14","13.43","176.13","191.72","185.13","16.33","16.68","13.75","31.55","23.03","177.75","29.93","22.23","20.29","15.76",,"159.53","40","32","32","48","43","SP","SP","4193","4006","Q1056","06 Tier",6.42
659,"CPRCMUS-01941","E303/763","763","F",3,4,3,3,3,0,0,3,3,"3","3",3,3,3,3,86.54,"54.8","64.17","81.92","37.5",42.69,68.60,61.94,"139.1","16.82","17.53","26.69","17.19","134.8","11.21","12.08","14.57","11.19","154.02","165.16","Na","15.88","15.84","13.67","27.88","22.07","148.33","30.85","21.47","19.02","14.18",,"145.13","47","35","27","37","37","TF",,"4109","4218",,,11.91
660,"CPRCMUS-01954","800","800","M",3,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,92.04,"56.05","65.36","88.32","43.77",54.89,80.33,54.56,"158.27","18.71","19.5","31.14","19.94","157.62","11.94","14.05","18.1","13.59","178.2",,,,,,,,"181.19","32.78","26.61","20.64","16.61",,,"39","33","30",,"40","TF","TF","3857",,"Q1066","04 Tier",10.09
661,"CPRCMUS-01956","E594/A00","A00","F",3,3,3,2,3,0,0,3,3,"3","3",3,3,3,3,81.18,"53.38","61.32","86.2","37.35",39.77,67.62,50.89,"129.09","14.85","15.89","24.44","14.43","128.11","10.43","11.03","13.93","12.46","146.86","152.08","Na","14.06","14.13","11.36","24.91","21.66","143.2","24.93","19.1","15.6","13.52",,"134.27","39","31","27","38","34","TF",,"3875","4042",,,8.60
662,"CPRCMUS-01962","H15","H15","F",0,0,0,1,2,0,0,1,1,"1","1",1,1,1,1,,,,,,,,,,"14.71","15.57","25.2","14.84","124.38","11.02","11.01","13.78","10.67","139.01","145.63","Na","14.59","14.71","11.32","25.07","17.58","145.58","24.34","16.87","14.64","12.84",,"127.03",,"21","23","32","30",,,"3841","4032",,,3.27
663,"CPRCMUS-01968","E597/553","553","F",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,86.77,,"64.44","85.48","39.13",43.95,71.35,54.12,"144.15","17.42","18.07","27.13","17.37","140.88","11.54","11.04","14.83","14.87","160.2","166.34","Na","15.2","15.58","12.22","28.5","22.16","157.97","27.13","21.97","16.88","13.94",,"147.53","32","26","29","39","38","TF",,"3991","4114",,,14.45
664,"CPRCMUS-02016","829","829","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,85.02,,"61.6","85.4","41.8",49.81,72.03,52.78,"136.36","14.23","15.97","23.76","14.58","136.02","9.97","11.73","14.66","11.62","150.34","157.7","154.62","14.48","14.63",,"25.84","20.43","150.84","25.57","19.48","17.47","14.2",,"145.58","32","26","25","36","34",,,,,"Q1012","05 Tier",9.80
665,"CPRCMUS-02019","G29","G29","F",3,3,3,2,3,3,3,3,2,"3","1",3,2,2,3,80.80,"60.35","65.37","93.25","42.38",51.90,65.62,46.90,"131.54","16.69","16.85","26.72","15.92","131.63","11.3","12.28","14.26","13.21","140.45","155","152.64","15.41","15.34","12.32","28.28","20.27","146.68","26.86","21.94","17.15","16.97",,"138.49",,,,,,"TF","TF",,,"Q1012","06 Tier",5.78
666,"CPRCMUS-02023","502","502","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,97.37,,"66.88","92.85","41.1",57.26,80.51,55.63,"162.03","19.29","20.34","30.89","19.01","160.33","12.59","13.72","17.42","14.36","179.72","202.13","197.07","17.08","17.74","14.23","31.2","25.48","182.7","31.17","23.83","18.25","16.66","88.93","166.59","42","34","31","45","44",,,"4271","4237","Q1053","04 Tier",5.73
667,"CPRCMUS-02029","B74","B74","F",3,3,3,2,3,3,3,3,2,"3","2",3,3,3,3,81.91,"50.83","61.35","89.12","42.82",49.13,67.34,51.43,"143.27","14.88","17.12","25.69","15.6","132.55","10.89","11.73","14.69","11.53","148.06","167.22","164.16","14.91","15","12.04","27.69","20.94","149.96","26.57","20.09","16.45","13.54",,"138.6","29","24","23","36","34","TF","TF","4181","4167","Q1021","04 Tier",7.90
668,"CPRCMUS-02031","676","676","F",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,88.96,"55.96","67.44","90.01","46.7",50.02,74.83,51.52,"148.87","17.67","18.25","27.53","17.6","143.72","11.12","12.51","15.35","12.78","163.71","176.85","172.45","15.19","15.1","12.72","27.81","23.23","167.44","28.09","21.3","17.56","14.76",,"155.79","38","28","28","40","38",,,,,"Q1066","04 Tier",12.51
669,"CPRCMUS-02032","795","795","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,93.16,,"65.64","87.18","45.54",53.44,81.58,60.14,"154.12","19.05","19.53","30.16","17.67","157.87","11.51","13.14","16.65","13.32","176.26","194.43","191.58","16.41","16.46",,"30.31","24.6","178.52","29.92","22.76","17.77","15.13",,"157.16","43","31","28","43","41",,,"4318","4279","Q1021","04 Tier",11.50
670,"CPRCMUS-02036","D03","D03","M",3,3,3,2,3,3,3,3,2,"3","2",3,3,3,3,94.44,"59.12","68.09","90.79","42.46",54.42,79.15,63.13,"150.46","17.84","19.8","28.85","17.63","155.43","11.94","13.01","16.45","13.81","169.69","186.96","183.56","16.52","16.93",,"29.45","23.32","170.28","29.71","22.33","18.12","14.78",,"157.35","39","30","27","43","40","SP","SP","4435","4300","Q1066","05 Tier",7.00
671,"CPRCMUS-02040","520","520","M",4,4,4,3,3,3,3,3,3,"3","3",3,3,3,3,93.52,"53.64","63.31","89.54","34.9",48.90,80.88,60.52,"150.47","19.88","20.3","30.66","17.95","145.99","11.85","13.96","17.63","14.79","166.68","186.57","181.19","17.47","17.47","13.62","31.34","25.51","164.3","33.75","26.07","19.93","17.75","90.78","155.92","43","30","27","44","40",,,,"4102","Q1056","03 Tier",15.47
672,"CPRCMUS-02055","E585/625","625","F",4,4,4,3,3,0,0,3,3,"3","3",3,3,3,3,81.12,,"62.44","86.65","35.96",43.03,69.18,55.45,"144.5","17.68","18.65","26.42","17.28","142.9","12.47","12.5","15.19","12.14","160.92","173.73","Na","15.47","15.9","12.95","28.16","21.59","159.76","28.37","20.52","17.66","13.85",,"147.93","38","27","28","42","41","TF",,"3917","4097",,,14.80
674,"CPRCMUS-02061","G77","G77","M",3,3,3,2,3,0,0,3,2,"3","1",3,2,2,3,97.98,"55.75","68.01","96.76","32.75",52.03,75.55,53.64,"149.14","19.65","19.3","31.09","18.02","155.65","12.88","13.3","16.9","13.69","174.13","184.16","Na","15.5","15.65","13.05","31.83","22.85","171.26","29.9","23.84","18.14","15.24",,"158.19","42","28","28","40","40","TF",,"3939","4005",,,5.15
675,"CPRCMUS-02078","H77","H77","M",3,3,3,1,3,3,2,1,1,"1","1",1,1,1,1,77.24,"53.54","65.01","85.25","35.87",42.72,65.15,48.55,"145.14","17.23","17.59","27.9","16.11","144.03","12.1","13.04","17","12.78","159.49","167.93",,"16.66","16.5","14.08","28.83","20.31","158.36","27.12","19.48","18.05","14.58",,"138.78","33","26","24","38","34","SP","SP","4215","4133","Q1056","06 Tier",4.97
676,"CPRCMUS-02079","G05","G05","M",4,3,2,1,3,3,2,2,1,"2","1",2,1,1,1,84.33,"55.3","63.68","86.69","41.19",55.82,72.99,55.39,"152.7","17.25","19.19","27.83","17.09","153.11","11.89","13","15.39","12.65","172.63","180.74","177.85","16.77","16.72","13.48","29.32","21.15","164.93","28.18","21.32","16.95","14.55",,"151.42","33","24","23","37","34","TF","TF","4142","4219","Q1066","05 Tier",6.13
677,"CPRCMUS-02080","744","744","M",0,0,0,3,3,3,3,3,3,"3","3",3,3,3,3,,,,,,,,,"157.04","18.43","21.11","32.44","19.67","159.59","13.09","14.47","18.29","14.64","181.27","196.78","192.6","17.49","17.61","16.01","33.41","26.03","179.24","31.61","25.93","20.56","16.62","93.03","173.29","42","32","31","43","42",,,"4372","4312","Q1083","04 Tier",13.27
678,"CPRCMUS-02083","E234/B92","B92","F",3,3,3,1,3,0,0,2,1,"3","1",3,1,2,2,71.90,"50.77","57.65","78.52","32.89",43.80,66.14,43.99,"135.02","16.35","16.74","25.42","14.91","139.11","10.03","11.24","13.57","11.15","158.01","170.93","Na","14.07","14.31","11.29","24.8","19.28","157.66","25.34","19.41","15.87","12.95",,"136.8","36","24","26","38","35","TF",,"4023","3941",,,5.61
680,"CPRCMUS-02088","E719/D31","D31","F",3,3,3,2,3,0,0,3,3,"3","3",3,3,3,3,78.79,"54.82","62.45","81.16","29.41",40.91,65.12,44.50,"136.65","17.05","16.88","25.74","14.97","134.73","10.86","11.17","13.67","10.98","152.93","163.89","Na","15.21","15.3","13.85","29.2","21.27",,,,,,,,"32","21","23","33",,"TF",,"3855","4007",,,8.29
682,"CPRCMUS-02090","H94","H94","M",3,3,3,1,3,3,3,2,1,"2","1",2,1,1,1,84.96,"53.47","66.09","86.4","47.27",52.43,72.83,57.23,"149.81","17.45","19.88","31.55","18.12","155.35","11.92","13.75","16.62","13.74","174.68","189.91","188.66","16.4","16.82","14.3","30.43","24.89","173.04","29.65","23.35","19.71","15.75",,"148.01","36","29","25","39","35","TF","TF","4180","4281","Q1083","05 Tier",5.22
683,"CPRCMUS-02091","H72","H72","M",0,0,0,1,3,3,2,1,1,"1","1",1,1,1,1,,,,,"37.66",45.85,75.16,,,,,"28.86","18.44",,"11.87","13",,,,,,"16.91","16.73","13.27",,,,,,,,,"143.95","36","26","28","39","38",,,"4128","4115","Q1053","05 Tier",5.15
684,"CPRCMUS-02092","D13","D13","M",3,3,3,2,3,3,3,3,2,"3","3",3,3,3,3,90.84,"59.09","66.07","90.01","47.08",50.99,82.45,61.01,"155.63","18.26","19.53","28.72","16.61","152.45","12.33","13.28","15.86","13.1","171.36","186.93","182.31","16.69","17.13","13.68","29.47","23.03","170.31","28.59","21.91","18.5","15.5",,"156.29","39","30","27","43","39","SP","SP","4198","4240","Q1019","05 Tier",8.11
685,"CPRCMUS-02094","I26","I26","M",3,3,3,1,3,3,3,2,1,"3","1",2,1,1,1,89.82,"56.23","64.52","89.9","41.73",53.50,78.31,59.51,"154.88","17.31","18.92","33.19","19.01","161.23","13.31","14.3","16.7","13.48","181.35","197.09","193.35","16.37","16.63","13.34","29.8","24.34","181.49","30.47","23.37","18.35","16.48",,"160.83","40","30","28","43","40",,"TF","4355","4225","Q1071","08 Tier",5.11
686,"CPRCMUS-02095","G36","G36","M",3,3,4,2,3,3,3,3,2,"3","2",3,3,3,3,94.18,"56.11","65.97","95.11","46.51",56.54,82.76,61.18,"154.4","18.82","19.72","30.21","18.3","154.37","12.04","13.68","16.76","13.69","172.6","192.84","187.36","15.94","16.19","13.17","30.46","24.09","176.24","29.94","24.06","18.78","15.41",,"154.23","41","29","29","42","39","TF","TF","4100","4314","Q1019","05 Tier",6.13
687,"CPRCMUS-02096","I16","I16","M",3,3,3,1,3,3,2,1,1,"1","1",1,1,1,1,81.88,"50.41","64.04","83.41","35.03",45.45,66.98,51.65,"142.19","15.6","17.41","28.72","17.09","140.71","10.94","12.38","14.94","12.43","160.58","171.6",,"15.66","15.76","12.38","26.54","20.9","159.33","26","20.06","16.13","14.91",,"136.98","30","23","27","36","36","TF","TF","4293","4292","Q1053","04 Tier",5.35
688,"CPRCMUS-02097","F75","F75","F",3,3,3,1,3,3,3,3,1,"3","1",3,1,2,3,81.61,"54.42","63.68","86.09","36.42",41.74,69.08,50.15,"143.99","15.14","17.74","25.32","17.17","143.67","10.72","12.01","14.79","12.04","162.19","168.77","165.61","15.12","15.38","12","27.06","20.98","158.55","27.04","19.25","16.96","14.52",,"147.63","34","26","24","38","35","TF","TF","4387","4171","Q1056","06 Tier",6.25
689,"CPRCMUS-02099","E88","E88","M",3,3,3,2,3,3,3,3,2,"3","2",3,3,3,3,88.29,"57.63","64.51","85.35","45.21",55.42,81.52,57.15,"155.17","18.59","20.27","29.8","18.79","157.65","12.76","14.07","16.6","14.13","181.35","195.17","190.17","17.64","17.7","14.15","31.1","26.09","177.51","30.53","24.43","18.89","16.93",,"167.39","38","30","27","43","39","SP","SP","4073","4197","Q1012","06 Tier",6.88
690,"CPRCMUS-02100","H97","H97","M",3,3,3,1,3,3,2,1,1,"2","1",2,1,1,1,84.88,"55.75","64.28","85.1","33.35",45.22,73.17,55.17,"141.71","17.52","19.56","28.68","17.78","142.41","11.49","12.83","15.8","13.31","161.37","173.57","168.32","16.77","16.77","13.58","28.76","22.83","160.64","29.04","20.57","17.42","18.18","15.91","140.52","36","28","25","39","36","TF","TF","4148","4319","Q1056","06 Tier",5.34
691,"CPRCMUS-02104","F03","F03","M",3,3,3,1,3,3,3,3,2,"3","1",3,2,2,3,94.99,"53.85","65.99","84.52","44.37",54.29,79.86,55.33,"150.56","17.39","19.21","28.12","17.52","143.37","11.13","12.6","14.78","12.82","163.15","178.06","174.11","15.88","16.19",,"27.37","23.32","163.15","26.79","21.8","16.46","15.1",,"148.07","39","32","28","41","37","TF","TF","4209","4295","Q1071","05 Tier",7.11
692,"CPRCMUS-02105","I54","I54","F",3,3,3,1,3,3,2,2,1,"2","1",2,1,1,1,75.54,"51.25","63.47","82.34","40.97",46.25,62.09,45.05,"138.09","15.27","16.95","27.38","15.71","137.7","11","12.62","14.54","11.59","156.37","167.17","163.94","15.89","16.14","13.05","27.08","20.73","157.25","25.8","20.41","17.61","13.87",,"141.24","33","24","23","37","32","TF","TF","3927","4113","Q1083","05 Tier",3.79
693,"CPRCMUS-02106","F28","F28","F",3,3,3,3,3,3,3,3,3,"3","3",3,3,3,3,77.22,"53.1","60.12","87.64","39.58",54.68,66.31,51.05,"136.61","14.91","16.18","24.38","14.63","139.18","9.62","10.99","13.78","11.85","155.63","166.39","163.25","14.71","14.97","11.8","25.34","20.85","154.97","24.84","19.31","15.3","13.25",,"143.3","34","26","23","37","34","TF","TF","4074",,"Q1021","05 Tier",6.83
694,"CPRCMUS-02107","F70","F70","M",3,3,3,2,3,3,3,3,1,"2","1",2,1,2,2,96.12,"53.5","61.48","86.14","37",49.36,77.87,56.86,"154.34","18.88","20.19","31.01","18.38","151.76","12.28","14.05","18.03","13.58","174.47","194.58","188.12","17","17.55","14.88","30.53","24.25","174.44","29.67","23","19.4","16.19",,"159.58","39","30","28","42","41","TF","SP","4286","4091","Q1053","04 Tier",5.76
